iter	Accuracy	Logloss
710	0.8632791181	0.2952471054
711	0.8632743097	0.295241248
712	0.8632743097	0.2952349263
713	0.8633031603	0.2952237476
714	0.8633007561	0.2952159997
715	0.8633127772	0.2952106926
716	0.8633127772	0.295204754
717	0.8633151815	0.2951969373
718	0.8633199899	0.2951929892
719	0.8633296068	0.2951878733
720	0.8633464363	0.2951813081
721	0.8633584575	0.2951737571
722	0.8633560532	0.2951662818
723	0.863375287	0.2951595093
724	0.8633512448	0.2951499427
725	0.8633223941	0.2951427788
726	0.8633392237	0.2951337831
727	0.8633560532	0.2951275581
728	0.8633464363	0.2951215944
729	0.8633488406	0.2951134269
730	0.8633392237	0.2951044997
731	0.8633344152	0.2950991624
732	0.8633296068	0.2950933133
733	0.8633416279	0.295084101
734	0.8633416279	0.2950764956
735	0.8633368195	0.2950701026
736	0.8633392237	0.2950602867
737	0.8633512448	0.29505369
738	0.8633728828	0.2950477246
739	0.8633824997	0.2950436605
740	0.8633728828	0.2950368533
741	0.8633897123	0.2950301908
742	0.8633849039	0.295021657
743	0.8633897123	0.2950142897
744	0.8633993292	0.2950049737
745	0.8634017334	0.2949956968
746	0.8634041377	0.2949908439
747	0.8634017334	0.29498418
748	0.8633945208	0.2949791449
749	0.8633993292	0.2949720441
750	0.8634017334	0.2949675149
751	0.8634233714	0.2949597439
752	0.863440201	0.2949528688
753	0.8634498179	0.2949461409
754	0.8634161588	0.2949399357
755	0.8634329883	0.2949332693
756	0.863461839	0.2949267801
757	0.8634882854	0.294920076
758	0.8634810728	0.2949139029
759	0.8634762643	0.2949064974
760	0.8634786685	0.2949016644
761	0.8634690517	0.2948964974
762	0.8634858812	0.2948884307
763	0.8634979023	0.2948822286
764	0.8635171361	0.2948749572
765	0.863526753	0.2948716396
766	0.8635027108	0.2948655449
767	0.8635003065	0.2948585685
768	0.863505115	0.294851885
769	0.8635027108	0.2948434721
770	0.8634979023	0.2948381863
771	0.863505115	0.2948330774
772	0.8635243488	0.2948256995
773	0.8635411783	0.2948198351
774	0.863548391	0.2948113506
775	0.8635652205	0.2948037598
776	0.8635628163	0.2947951089
777	0.8635580079	0.2947879189
778	0.8635507952	0.2947821354
779	0.863548391	0.2947774914
780	0.8635724332	0.2947711316
781	0.8635435825	0.2947635694
782	0.8635363699	0.2947572175
783	0.8635531994	0.2947489637
784	0.8635531994	0.2947416269
785	0.8635507952	0.2947356432
786	0.8635652205	0.294729121
787	0.8635844543	0.2947228598
788	0.8635772416	0.2947182009
789	0.8635868585	0.2947120928
790	0.8635796459	0.2947018009
791	0.8635531994	0.2946941049
792	0.8635604121	0.2946885085
793	0.8635652205	0.2946832969
794	0.8635748374	0.2946753949
795	0.8635748374	0.294668694
796	0.8635844543	0.294662342
797	0.8635892627	0.2946552481
798	0.8635964754	0.294648886
799	0.8636036881	0.2946423616
800	0.863591667	0.2946367634
801	0.8635988796	0.2946299771
802	0.8636060923	0.2946245744
803	0.8636229219	0.2946163107
804	0.8636229219	0.2946085609
805	0.8636325387	0.2946024113
806	0.8636277303	0.2945949011
807	0.8636469641	0.2945864615
808	0.8636493683	0.2945769496
809	0.8636325387	0.294570158
810	0.8636541767	0.2945631992
811	0.863656581	0.2945563149
812	0.863678219	0.2945485202
813	0.8636758147	0.2945417268
814	0.8636926443	0.2945372553
815	0.8636926443	0.2945312957
816	0.8636710063	0.2945251371
817	0.863678219	0.2945210734
818	0.8636854316	0.2945161071
819	0.8636998569	0.2945072524
820	0.8637118781	0.294497771
821	0.8637046654	0.2944941835
822	0.8637214949	0.2944867779
823	0.8637142823	0.2944787545
824	0.8637311118	0.2944710251
825	0.8637431329	0.2944659846
826	0.8637671752	0.2944582759
827	0.8637695794	0.2944556468
828	0.8637599625	0.2944485307
829	0.8637503456	0.2944442538
830	0.8637671752	0.2944384763
831	0.8637623667	0.2944313908
832	0.8637671752	0.2944249595
833	0.863776792	0.2944169361
834	0.8637840047	0.2944111901
835	0.8637599625	0.2944055595
836	0.8637623667	0.2944001373
837	0.8637479414	0.2943924371
838	0.8637647709	0.2943862864
839	0.8637599625	0.2943780256
840	0.8637623667	0.2943734787
841	0.8637623667	0.2943654794
842	0.8637551541	0.2943592087
843	0.8637671752	0.2943547815
844	0.8637647709	0.2943504334
845	0.8637864089	0.2943454404
846	0.8637816005	0.2943371397
847	0.8637791963	0.2943334297
848	0.8637816005	0.2943283895
849	0.86379843	0.2943201157
850	0.8637888132	0.2943115365
851	0.8637888132	0.2943059998
852	0.8637936216	0.294299944
853	0.8637816005	0.294291533
854	0.8637888132	0.2942844204
855	0.86379843	0.2942799209
856	0.8638080469	0.2942733859
857	0.8638056427	0.2942657144
858	0.8638104512	0.2942597883
859	0.863820068	0.294251954
860	0.8638248765	0.2942451469
861	0.8638320891	0.2942384147
862	0.8638441103	0.2942344685
863	0.8638585356	0.2942272693
864	0.863863344	0.2942221367
865	0.8638705567	0.2942143675
866	0.8638825778	0.2942074929
867	0.8638801736	0.2942000316
868	0.8638897905	0.2941914075
869	0.863884982	0.2941836575
870	0.8638945989	0.2941761124
871	0.8639138327	0.2941700183
872	0.8639258538	0.2941620282
873	0.8638994074	0.294155408
874	0.8639162369	0.2941487418
875	0.8639234496	0.2941428256
876	0.8639162369	0.294136749
877	0.8639330665	0.2941306254
878	0.8639402791	0.2941244687
879	0.8639571087	0.2941173042
